flickr_image_id, questions, keyword
16491401085,Can you translate this tablet?---Is this in hieroglyphics?---How much does it cost to see this?---what type of art is this---how old is this piece---how much does it cost to go sea this,British Museum
28104478805,Who designed this staircase?---How long did this take to make?---What's the address of this building?---What kind of tile is that?---When was this built?---How many steps are there?---What city is this in?---What businesses are located here?,Eisenhower Executive Office Building
3802996011,What is the significance of this place?---Is there a speed limit here?---What time of the year does it rain here?---Where is this located?---What kind of car is that?,Rohtang Pass
4996317568,Where is this---What kind of plants are growing here---Does anybody own this place---What kind of plants are these?---How old is this building?---Who built this?---Are these ruins?---What country is this in?---What was this building once used for?---Do people still visit this place?,roof garden
46424809931,Can you find me hotels near here?---What's the next show happening here?---What would a flight to get here cost?---How much is Tokyo Dome?---Is Tokyo Dome air conditioned?---What time does Tokyo Dome open?---What events go on here?---Who built it?---How much are tickets?,Tokyo Dome
12930662053,What kind of architecture is this?---Who sculpted this?---What person is depicted here?,Covent Garden
4912943416,How often does it snow here?---How cold is it?---Where was this taken?---Where is this located?---What is the temperature here?---Can I swim here?---Where is this place?---What time of year was this taken?---Does it snow here?---],crevasse
33935125193,What kind of bikes are those?---How much do they cost?---What colors do they come in?,Cumberland Gap
14514207285,What is the name of this stadium?---Who plays in this stadium?---How much does it cost to ride that bus?,Twickenham Stadium
28486457084,How old is that fortress?---Am I able to visit that place?---Does anyone live there?---When was this built?---Who built it?---Is it open to the public?---How old is that building---Who built that---Does it cost money to visit that as a tourist,Areopagus
36503098290,Who are these people---What are their roles at NASA---Where can I get the tie of this guy on the left---Who are they?---What kind of rocket is that?---Whats on his tie?,Marshall Space Flight Center
21402066879,How many celebrities have signed there---Can you walk on that---Can I see that for free---When was this made---Is this open to the public---Can I visit here,Hollywood Walk of Fame
14351988469,What kind of flowers grow in this park?---Is this a national park?---How big is the park?,Golden Gate Park
5412961102,What city is in the distance---What's the name of the body of water---Is the building located in the center on the water a hotel---What city is that?---How many people live there?---Is that an expensive place to visit?---Which city is that---What body of water is at the bottom---How tall is the middle right green building,Oriental Pearl Tower
34226544764,What kind of flowers are the pink ones in the foreground---What country do these grow in---How much do the pink flowers cost to buy---What type of flowers are these---What type of bushes are in the back---How do you care for these flowers,Leeds Castle
32529873798,Who made this sculpture---Where is this statue---What is this statue made of,Lake Havasu
34158099063,When's the next race here?---How many races are here per year?---Where is this located?,Las Vegas Motor Speedway
6178801377,How much are tickets to go here?---What are the hours of operation for this place?---What kind of animals do they have here?,Chester Zoo
5218390838,What are these people protesting?---What street is this on?---When was this protest?---What store is this?---Who is in the photo?---What event is going on?,University College London
15167885781,What's this kind of cat called?---What's the scientific name for this animal?---Can cats eat this kind of plant safely?---What kind of plant is this?,roof garden
14364815421,Where is this---Can I travel there---What shops are open there,Yas Island
14840445207,What is the land area of this city---What is the tallest building here---How busy are these streets at night---What was this promotion---Is this for a movie---Can I take a picture here,One Times Square
10000729806,What kind of structure is this?---Where is this located?---What materials are this made out of?,art
20007758411,Where is this located?---Where does this train go?---What time of year is this?---What subway system is that---What is the glass building on the far right---How tall is the middle building---What is the name of this train line---Does this train make a stop at the museum---How fast do these trains travel,Elbphilharmonie
6124481311,What is depicted in this artwork?---Who made the artwork?---How old is the artwork?,Rock of Cashel
4649305012,Who is the girl in this photo?---Why does she look scared?---What brand is her lipstick?---Is that her natural hair color?---Where was this photo taken?,The Viper Room
27050588800,what language is that---can you walk under that if you're 7 feet tall---is it a memorial for something,Gyeongbokgung
10125349044,What body of water is this?---How big is this lake?---Where is this located?---Where is this located?---What is this body of water called?---Is this a popular tourist destination?---What makes a house a cottage?---What's the difference between a cottage and cabin?---What is the cottage style?,cottage
5706757386,What's the name of this station?---What trains can I catch here?---How much is the fare here?---What type of train is it?---Where is it going?---How much does it cost to ride?---What type of train is this---How much does it cost to ride this train---Is this train new,Innsbruck
3750620633,How tall is that church---How old is that graveyard on the right---Does that church still hold sermons,Cades Cove
34025679862,Where is this---Is it dangerous---Can I drive thru here without four wheel drive,Donner Pass
17385166501,Can I hike there---What road is this---Can I camp there---How high up is it to the top of that---Can you go inside it---Is there a hiking trail to the top---Is this place difficult to get to?---Can I go here with my grandparents?---Does it get cold here?,Crazy Horse Memorial
45418607505,What kind of car is this?---Who drives it?---How much is it worth?---Who made this---Can I buy this---Is this for racing only,auto factory
41158529800,Who is depicted in the statue here---Who is the artist behind these statues---Where is this at---Who are these statues of?---Who designed this?---What county is this in?---whats the monument---whens the market open---can you get snacks there,Camden Market
43097111745,Where is this located?---What do you call this style of window---When was this window made---What artist created this window,Dover Castle
215777903,What are the business hours of this shop?---When was this shop opened?---What can I buy at this shop?---What kind of goods do they sell there---What hours is that place open---What material is that shop entryway made of---What store is that?---When was it built?---What do they sell?,gift shop
33683602803,Where is this?---How high is this?---How can I get here?---What body of water is that?---What is that phase of the sun called?---Where was this taken?---Where is this located?---Is this a popular tourist destination?---Is it open to the public year round?,Adams Peak
42837291845,are these houses---what type of architecture is that---where is this,Bletchley Park
41894458760,Where is this?---Is this a public park?---Are events held here?---What is the wooden structure?,Luray Caverns
37666425472,How old is the stone hedge they're leaning on---What brand of leggings is the girl on the left wearing---How tall are those mountains in the background---What country is this?---Is that that Scottish wall thing?---What's the name of the fort in the background there?,Pamukkale
2184829724,How tall is it?---When was it built?---Where is it located?---When was this made---Who made it---How was this constructed---How tall is this building?---When was this building constructed?---Who designed this building?,Blarney Stone
7352650118,Can I drive my own car on the Nurburgring?---How much does it cost to drive around the Nurburgring?---Is the Nurburgring open to the public?,Nürburgring
6532912681,Which Monmouth is that sign referring to?---How much do you think a dozen eggs would cost here?---Is this a weekly event?---How often does this happen?---Where is this located?---How many venders are here?,Camberwell
10563216084,Where is this located?---Is it a popular tourist destination?---Is it open to the public?---Where is this---How big is this place---Is there a body of water here---What kind of trees are these?---How tall are they?---Where do they grow?,Watkins Glen State Park
23360122989,What happens in this building?---How big is it?---Is this a public entrane---What're the hours?---What stores are there?---None---Can I get directions here?---What shops do they have here?---When does this place close today?---Do they have a Macy's here?---Do they have free parking here?,Toronto Eaton Centre
10870391436,Who painted the castle ceiling?---Does the castle allow visitors?---What's this place's street address?,Prague Castle
20670458464,what kind of bord---can it fly---is it a dodo---Where is this located?---What kind of bird is that?---What country is it native to?,Chimborazo
15390835345,How old is this sign---What's this sign made out of---Is this in California or Flordia---How tall is that sculpture in the front---How tall are those palm trees on the left---How long did it take to build this---Who built the globe?---When was this park open?---How much is a ticket?,Universal Studios Hollywood
34142304226,When was this built?---Is that real gold on the walls?---Where in Japan is this?---Who commissioned this building?---How old is the temple?,Kinkaku ji
5815654802,How many soldiers stationed there---How large is the fort---Is that fort still active---How long as this been here---Can you tell me who designed this---Where is this located---What coast is that?---How big is this building?---Whats it used for?,Fort Sumter
11198470406,Who made this stone carving?---Where can I see this carving?---What kind of stone is this made out of?,japanese garden
24291245782,Why is there a dog here?---What city is this located in?---Does it cost money to go here?,Covent Garden
12923136485,Where is this located?---When was the stadium built?---How long did it take to build the stadium?---who plays there---whats the average game price---how much parking is there,Wembley Stadium
35230126746,What's the name of that dish?---What restaurant is this?---How much does that cost?---What type of food is that?---How much would food like that cost me?---Is there somewhere I can order food like that near me?---Is Fitzrovia safe?---What county is Fitzrovia?---Why is Fitzrovia called Fitzrovia?,Fitzrovia
16497063986,What are the business hours of this place?---What is the admissions fee for this place?---Who designed this building?---How tall is it?---When was it built?---Who built it?,Royal Ontario Museum
40888594865,How old is this structure?---How deep is that hole?---What is the purpose of this structure?---Who made this?---When was this built?---Where is this located?---Who made this?---When was it made?---Where is it located?,Skara Brae
8481976391,What can I see from here?---What is this rock composed of?---What temperature is the water?---what body of water is that---who discovered this location---how long is this rock peninsula---How high up is that above sea level---What body of water is that---How deep is the water there,Cape of Good Hope
19259729481,Who is buried at Highgate Cemetery?---What zone is Highgate Cemetery?---Who owns Highgate Cemetery?,Highgate Cemetery
3835622730,Where is this located?---Can I swim there?---Are there ferries?---How big is this island?---How many people live here?---Is this island accessible by airplane?---Can I swim there---Are there sharks there---Are there sea turtles there,Mustique
27329291180,Is this the tallest building in the square?---What city is this in?---Does that clock tower have a name?---Has this building ever been in an earthquake?---What's the time on that clock?---Was anybody in the tower when the photo was taken?---Who's that a statue of at left?---What is this building made of?---What type of business is this place?---How tall is the clock tower portion?---What is the historical significance of this place?---What type of stone is the outter wall made of?---How many stories total is it?,Piazza della Signoria
16201402681,What language on is printed on this paper?---Can you translate the text on this paper?---Where was this photograph taken?,Yasukuni Shrine
39831910195,How much energy does that building on the left produce a year---How tall is that white dome on the left side---What is the name of that beach,Sizewell nuclear power stations
8036291247,What is the best time to visit Butchart Gardens?---How much is admission to Butchart Gardens?---What is there to do in Butchart Gardens?---What type of flower is this---What type of climate does it need to grow---What is the scientific name of this flower---What kind of flower is this---Is this flower poisonous---Where is this flower native to,Butchart Gardens
8249804711,How tall is the statue---Could I climb to the top of that statue tomorrow---What is the name of that island---What do you call that kind of sailboat,Staten Island Ferry
3894414626,Where is this?---What is he carrying?---Does this kind of basket have a special name?,Ijen
37599541556,Where is this---How big is this place---What kinds of plants grow here---What kind of trees are those?---Where was this taken?---What animals live here?,Loch Lomond
24108751074,Who is the person depicted in this sculpture?---Is this a public park?---Is there an event going on?---Where is this?---Who made this?---When was this made?---who created that structure---Who is the artist?---What is that sculpture made of?,Millennium Park
29697338,How much would these be in the US?---What material are those black ones made of?---What's the best season for this kind of shoe?---Is this someone's house?---Why are there so many sandals here?---Can I buy sandals here?---What are these shoes made out of---How much do these shoes cost---Where can I find a shoe like this,sandal
27848539845,How tall is the butte in the middle---Can I hike out to that middle butte---Is that are dog friendly---Where is this located?---Is it a popular tourist destination?---Is it open to the public?---Where is this---How big is this place---How tall are this rock formations,Monument Valley
9591035739,What is this made of?---What does this depict?---Who made this?,Dublin Castle
5967114618,What religion is Berlin Cathedral?---Is Berlin Cathedral free?---How old is Berlin Cathedral?---Where is that cathedral?---How old is that cathedral?---Who designed that cathedral?---When was this cathedral built?---Can anyone go in there?---Is that a Catholic cathedral?,Berlin Cathedral
9058774664,What are they doing in the field?---What year was this taken?---Can I rent a horse to joust here?---Can I lodge here?---How much does it cost to visit?---When was this photo taken?---How heavy is that armor?---How tall are those horses?---Are events like this held here often?---Do these guys live at the Palace?---How big is this place---What are these trees---What is this garments called,Eltham Palace
6532821187,What are these?---Are these edible?---Where can I buy these near me?---What is this?---Where do these grow?---How much per pound?---What are those purple things?---Can you eat whatever those are?---Are those a good ingredient for anything?,Camberwell
14476806395,Is this the Timberline Lodge on Mt Hood?---Is that a bird in the sculpture?---How long did it take to make?,Timberline Lodge
3491553117,Who is that sculpture of?---How old is that sculpture?---Who carved that sculpture?---Is this sculpture visible from the street---What material is that sculpture made of---How old is that sculpture,Quirinal Palace
12119936113,What is the water temperature here?---What is the name of this river?---What kind of wildlife lives here?---Is this land federally protected?---Are bears commonly found here?,Yosemite National Park
15420449237,Has anybody ever been hit by a train while crossing these tracks?---Is the station air-conditioned?---What's the departure schedule on Thursdays?---What direction is the viewer facing in this picture?---How old are these tracks?---How long is that bridge---Can cars go on that bridge---How high is that bridge,Trent Bridge
15369339515,Where is this?---What are they doing?---What street is that?---How big is this place---Where can I buy this red skirt---What are they doing,Harajuku
10067452163,What is a canyon in geography?---What is the largest canyon in the world?---What is the difference between a gorge and a canyon?---What's the name of this canyon---Can I hike this canyon---Is it safe to hike---What kind of rock formation is this?---What country is this in?---Is it free to get here?,canyon
10353212783,Who is being depicted here?---Is this sculpture brass or bronze?---Who made this?---Whose face is this?---Who made this art?---What is this made of?---Where can I find this?,Georgetown University
35407689112,When was this built?---What happened to this building?---What can I do here?---Is there a clock tower in this building?---How tall is it?---When was it built?---Who built it?,Coventry Cathedral
36795791415,Who is playing on the stage---How many people fit in this arena---How many people visit this arena in a year,KeyArena
31193095847,Is this a volcano---Can I visit this area---Is it usually cold---What year did it last erupt?---How high is the summit?---Where's the closest place for me to lodge?---How many people have climbed it?---What country is it in?,Chimborazo
16759669423,Is this ride appropriate for children---How tall do you have to be to ride this---How long has this ride been here---Whose crest is that?---How tall is this?---When was it built?,Mr. Toads Wild Ride
11697668565,What is the name of this animal?---What kind of seal is this?---How old do seals like this one usually live to be?,SeaWorld Orlando
7887508960,Who is the statue of?---How tall is it?---Where was this taken?---What sports are played here?---Who does that statue depict?---What kind of flowers are those?,Arthur Ashe Stadium
29391023664,what kind of rock is this---how was this made---how old is this structure,Antelope Canyon
8396481473,Who built it?---When was it built?---Who lived there?---Who lives inside that castle?---What country is that in?---How old is that castle?---When was this castle built?---Who used to live here?---Do people still live here?---How expensive would it be to build something like this?,Arundel Castle
30528384847,Is there a name for this design?---What material is this?---How do you make tiles like these?---What is this design called?---Is this a heraldic design?---Where can I find fabric with this design on it?,Salisbury Cathedral
13908190191,Where is this field,Parthenon
9025404445,What country is this in?---What is the nearest city to here?---What train line is this?---How tall is the castle on the right---What kind of train is that on the right---Does that train go to the castle---Why was Rochester Castle built?---How many floors does Rochester Castle have?---How long did the siege of Rochester Castle last?,Rochester Castle
4087159449,Does this driveway lead to a house or is this a public park?---What kind of material is this gravel?---Does the field around the driveway house any farm animals?---Where is this?---Is this on private property?---Is this open to the public?---Is this a public space---Can I walk there---Is that private property,driveway
7767884942,What country is this?---Is this a city park of some kind?---What's that weird skinny tree in the middle there?---what park is this---what kind of trees are in this picture---what body of water is in the background,Alton Towers
35077091262,What does Londinium mean?---What was London called before Londinium?---Why did the Romans call London Londinium?,Londinium
2767795846,Where is this located?---Is this a popular tourist destination?---Is it open to the public year round?---Where was this taken>---Who is that?---When was the complex built?,Mauna Kea
45862082281,How old is that?---Who ruled in that castle?---Where is that castle at?---Why was this castle abandoned?---When was this built and by who?---How tall was this castle when it was inhabited?---How long ago was this built?---How tall was that castle when it was new?---How long does to take to get here from London?---Who used to live in that castle?---Can visitors walk into the castle?,Corfe Castle
10706711464,Who made this?---What kind of stone was this made with?---How old is this?---Where can I find this?,mausoleum
108296187,Where's the Galley Diner?---Does the Galley Diner still exist?---None---What does that say?---What language is this?---Where is this?,galley
10876143263,Does it have free parking---What are the hours of services there---Who designed it---How tall is it?---When was it made?---Who made it?---What's the name for the tower on the left?---How many people can fit inside?---How often are services held here?---What religion is this associated with?---How tall is the dome?,mosque
43008695544,What city is this---What is the address of the round building with the pyramid on the roof at the lower left---Who was the architect of the building with the letters E Y on it---What is the tallest building here---Where is this---How can I get here,CN Tower
36495873504,What style of chapel is this?---What was this originally part of?---What events besides religious services happen here?---When was it built?---Can I go there for free---What material is that ceiling made out of---How old is that building,Fitzrovia
38320496151,Who are they?---Where are they?---What kind of glasses are those?---how much is a membership to this library---how old is the library---how many books are in the library,New York Public Library
44855591075,How many ships go here?---Can I swim here?---What kinds of boats are allowed here?---is that a cargo ship---wheres it at---what body of water is that---Where is this place---What big is this boat---Is fishing allowed here,berth
27063453647,What kind of plants are those?---How old is that wall?---Are those planters made of plastic?---Are those plants edible---How much would it cost to buy plants like that---What are those potted plants called,Cinque Terre
8624906428,What kind of fish is this?---What is the scientific name of this fish?---Is this an aggressive breed?,Shedd Aquarium
43442959980,What is this attraction called?---Which section of the park can I find this building?---Is that real or fake snow on top of the building?---How tall is the tower part?---Is this a ride of some sort?---What is this building at the park from?---How many people visit the park in a day?---What do they sell here?,Universal Orlando
8402997940,What's the lowest temperature ever recorded here?---How much time would a covered wagon need to traverse this landscape?---What time of day is this?---Are helicopters allowed here?---How long to hike this valley?---What state is this in?---How can I get here?---What is a good time to visit here?---Is there good camping near here?---Is there good hiking near here?---How tall is that?,Monument Valley
3970383560,Can I hike up it?---Are there places to camp there?---Can you buy a house there?---What road is this?---What mountain is that?---Whats the speed limit?,Mount Taranaki
13030471914,What is this made of?---Who made this?---Where is this located?,Hagia Sophia
21577913032,Are there hiking trails?---Do people live here?---Are there places to camp?---how far is it up there from the base---does it ever snow---what's the round building up there,Griffith Park
16566201665,Where is this waterfall---How did this waterfall form---Can you hike to this waterfall---How much water goes over these falls per minute---How do you get to this waterfall---What is this waterfall called---How many people visit here every year---Where is this located?---How tall is it?---Can one visit this place?,Iguazu Falls
44250514125,What's the graduation rate there?---How much does it cost to stay there?---How many students go there?---Where is this located?---Who plays here?---What's the capacity of this stadium?---How many students attend this school?---How much does it cost per credit at this university?---When was this build constructed?,University of Nebraska–Lincoln
10741771254,Who made this statue---What type of statue is this---What material is this---How tall is that sculpture---Who created that sculpture---Where can I see that sculpture in person---Who made this?---When was this made?---Where is this located?,bronze sculpture
44412953160,is this the cma's---is it in Tennessee---who's on stage,Mercedes Benz Superdome
6831312238,What body of water is that?---What kind of rocks are those?---What fish live here?,Jurassic Coast
9391744615,How tall are these mountains?---Does it snow on these mountains all year?---What animals live here?---What mountain range is this?---How high are the mountains in the distance?---What country is this in?---Is this a popular hiking destination?---What kind of animals live here?---Where is this located?---Can I visit this place?---What is this place called?,crevasse
16015791478,What is this shrine dedicated to---Are there organized tours available at this place---Is this place open to visitors year round---Who designed this shrine---What is the shrine made of---What city is this in,Yasukuni Shrine
3897725118,what state is it in---is this the top---is there yodeling---Translate that sign into Spanish---Translate that sign into Korean---How high up is that---Who put the sign up---Was it difficult getting the sign up the side of the mountain?---Do many people visit the sign on the mountain?,Mount Evans
13329686873,Where is this?---When was that constructed?---Is it open to the public?,atrium
9737479467,Is this a water tower?---Where is this tower?---How tall is the tower?,Iowa State University
8035157663,Who made this?---What is this made of?---Where is this located?---Is this a place I can rent---Can I buy it---How tall is it,Spinalonga
33391199921,What river is this---Can I swim in this river---What's the building style on the left---Where is this---What are these two buildings on the left---Who designed these---What river is this?---What city is that?---What the population here?,Tower Bridge
31747804012,Where is this located?---Is this a popular tourist destination?---When was it constructed?,AccorHotels Arena
37482279434,What materials were used in building this?---Where can I see this?---When was this built?---Is this open to the public---When is this open---When was this built---When was it built?---How tall is it?---Is it open to the public?,Al Aqsa Mosque
11198425294,Where is this?---What does the menu look like here?---How do I get here?---What do they serve here?---What's the name of this restaurant?---Is this a good place to take kids?---Where is this restaurant?,japanese garden
8397634512,How much does it cost to go there?---What is going on here?---What is the climate there?---Is this the Golden Gate casino?---Is this inside or outside the casino?---Is this casino family friendly,Fremont Street Experience
35881718813,Where is this---What is the purpose of this room---What kind of furniture is that,Sabarmati Ashram
8726603633,Is this station still under construction?---What is the name of this station?---What lines can I catch here?,Whitehall
5684237545,Does anyone live in the brick building?---What kind of trees are on the hillside?---Does it snow here in winter?---Is that a manmade pond?---What kind of plants are the round shrubs?---Is that a dorm at the University?---What campus is this?---What kind of tree are those big ones?---How tall is that building?---What types of trees are those?---Where was this taken?,University of Richmond
31331644390,What is the name of that---What is the cost of going there---When was it made into a museum---How tall is that building---How much does it cost to go inside---What body of water is that infront---What body of water is that?---How tall is that building?---What are median house prices here?,Anne Frank House
9186902211,Who designed this center?---Is it free to visit here?---What kind of events do they hold here?---When was this built?---Who built it?---Whats the complex used for?,Getty Center
14634419633,How long is this bridge---How high is this bridge---When was this bridge built---Where is this located?---How long is it?---Can I drive over it?---How long is that bridge?---When was it constructed?---How much did it cost to build?,Clifton Suspension Bridge
3937912367,What brand of laptop is that---How much dos that ticket cost---How much does that laptop cost,Arrowhead Stadium
11263023906,What kinds of plants are here?---Who takes care of it?---Can I go here?---What species of plant is this?---What's the cost of admission to get in?---What ecosystem does a plant like this thrive in?,botanical garden
14169217929,Is this during a game---What team plays here---What state is this---What does the lettering in the ground say?---How wide is the angle of this shot?---What games do they play here?---How many people can sit in the stadium?---When is the next scheduled athletic event here?---What is the name of their mascot?---What sport is played here?---How many people go to school there?,Kent State University
6293952049,What kind of tree is this?---Where does this tree grow?---N/A---What kind of tree is this?---What time of year are the leaves that color?---How tall do those trees grow?---Is this in a public park?,Castle Howard
17647054762,What breed is that pink flower---Is there hiking there---How long is the trail---How long is that road?---What kind of flowers are those?---Why is that grass brown?,Oregon Trail
14615644690,How much does a coffee table like that one cost---Where could I get those curtains---Whose apartment is this,Miller Park
5422354042,Who is on the building in the square?---Who created the mural there?---How often does the building get cleaned at the square?---When is Leicester Square open?---Do you need to book in advance to visit Leicester Square?---What's the best way to see Leicester Square?,Leicester Square
26600358249,Where is this located?---How tall is the building?---When was it constructed?---Why don't they make buildings that look like this cathedral anymore?---How high is the cathedral in this photo?---Is this place haunted?---Where is this located?---Is this affiliated with a university?---How many students go to the school this is attached to?---How tall is it?---Can people go up to the top of the tower?,Cathedral of Learning
4121678884,What's the capacity of this venue?---What's the average ticket price for this venue?---What is this band called?---What kind of music do they play?---Where is this venue?,The Viper Room
21562760426,Is this in LA---Does it cost money to visit here---When was this place made---was this just for old time celebs---who was the last to put their print down---who is this Sid they're talking about---Whats the history here?---How big is it?---Can people still write here?,Graumans Chinese Theatre
11327993844,Can you walk up Mount Teide?---Is Teide dormant?---What was filmed on Mount Teide?---Is the mountain high?---Do the clouds make it dangerous?---Do the clouds rain there often?,Teide
21855786151,What are the people performing?---Why are the people performing?---When will the people be done performing?,Efteling
30343569021,What is the size of that flag?---Do they sell hotdogs here?---How many people can this place hold?---How much do ticket cost at this stadium---What's the seating capacity of this stadium---What city is this located in---Where is this located?---How many can fit in the stadium?---When was it built?,Dodger Stadium
4620329123,Why is there a cage in this house---How long did Hemingway live in this house---What year was this house built,Ernest Hemingway House
4233738671,What body of water is this?---What sort of vessels are those?---Do a lot of people fish here?---Is this a popular destination for tourists,Cinque Terre
14092683834,Can you translate the text on the plaque?---Who is depicted in this sculpture?---What is this sculpture made from?---When was this made?---What do these statues represent?---How old are these objects?---When is this place open?,Salisbury Cathedral
3751461468,Whats this bridge called?---Who built it?---How long is it?---Who designed this---What is the length of this bridge---How many people can be on that at once---Where is this located?---Is this place historically relevant?---Is there an admission fee?,Capilano Suspension Bridge
10031829374,What building is this?---What country is this in?---Is this a public place?---How much does it cost to visit this place?,castle
20411169684,How long is that tunnel?---Where does that tunnel lead?---In which city is this tunnel located?,South Kensington
10034676993,when was this vehicle last used---what type of tread is on the tires---what material is the body made of,bridge
28434455152,Where is that trail at?---What mountain is that?---Is that a safe place to hike?---Where is this?---How do I get here?---Is this free to the public?,Ben Nevis
45140357124,What is this place---What is that colorful tower in the background---What kinds of businesses are these,Dōtonbori
5027221944,How large is this island?---What are the business hours here?---Do any animals live on the island?---when did naturalization start there---was lady liberty always on the island---how far from there to the heart of Manhattan---How much is a tour of this island---How far from the mainland is this island---How many immigrants came through this isand,Ellis Island
9056562351,What event is this for?---How heavy is that armor?---How much would it cost to go see this?,Eltham Palace
39393117670,Is there any symbology or meaning behind this structure---When was this structure added to the station---Does it provide structural support to the roof---Who designed this building?---What's the idea behind this design?---Is this ceiling of this station always purple?---Is this a famous station?---How many people come through this station every year?---Who designed this ceiling?---How high up is this ceiling?---How many trains come through here each day?---How many platforms are there at this station?---When was this train station built?,London Kings Cross railway station
13073299324,How tall is the mountain on the right---What is the average rain fall there---Are there any hiking trails there---Where is this place?---Does that rock formation have a name?---What time of year was this photo taken?---What is the best time to visit here?---What is the weather like here?---Is there good hiking here?,Garden of the Gods
15849690631,How can I go to this place to see this structure?---What kind of people work here?---Who built this place?---What is this?---Who made it?---How much did it cost to make?---How old is this ship---When was this ship made---Who first designed this space ship,Kennedy Space Center
16428270452,Where is this?---What are the prices like here?---What do people do here?---What is the menu for that place---Are there game nights there---Does this place have happy hour,Muswell Hill
28895958480,What building is that?---What is that building for?---Can the public enter that building?---What material is that building made from---How tall is the dome on top of the building---Can I bring my dog there---has it always been all white---when was it built---what are the prayer times there,Sheikh Zayed Mosque
